sitename,range,column,lat,lon,date,cultivar,aboveground_dry_biomass,units
MAC Field Scanner Season 6 Range 27 Column 2,27,2,33.075482093954896,-111.975031579041,2018-08-01,PI329646,2480.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 4,28,4,33.0755180467014,-111.97499885703002,2018-08-01,PI563196,16200.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 8,28,8,33.0755180680121,-111.974933379977,2018-08-01,PI585961,14800.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 9,28,9,33.0755180733345,-111.974917010713,2018-08-01,PI646242,16700.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 10,28,10,33.075518078654596,-111.97490064145,2018-08-01,PI569427,8340.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 12,28,12,33.075518089305504,-111.97486790294901,2018-08-01,PI276837,14400.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 15,28,15,33.075518105155304,-111.97481879518801,2018-08-01,PI641835,11200.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 6,29,6,33.0755539994622,-111.974966134995,2018-08-01,PI521019,13000.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 8,29,8,33.0755540100909,-111.974933396451,2018-08-01,PI257600,14500.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 10,29,10,33.0755540207336,-111.974900657911,2018-08-01,PI156871,10700.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 12,29,12,33.075554031367695,-111.974867919371,2018-08-01,PI154846,17400.0,kg / ha
MAC Field Scanner Season 6 Range 33 Column 12,33,12,33.075697799772804,-111.97486798516898,2018-08-01,PI157030,12700.0,kg / ha
MAC Field Scanner Season 6 Range 34 Column 3,34,3,33.0757336940146,-111.975015325296,2018-08-01,PI641862,16900.0,kg / ha
MAC Field Scanner Season 6 Range 34 Column 11,34,11,33.0757337365344,-111.974884370922,2018-08-01,PI329351,16700.0,kg / ha
MAC Field Scanner Season 6 Range 34 Column 13,34,13,33.0757337471655,-111.97485163231501,2018-08-01,PI297130,15000.0,kg / ha
MAC Field Scanner Season 6 Range 35 Column 7,35,7,33.0757696574144,-111.974949864567,2018-08-01,PI297171,17900.0,kg / ha
MAC Field Scanner Season 6 Range 35 Column 14,35,14,33.075769694556,-111.97483527944901,2018-08-01,PI156393,12800.0,kg / ha
MAC Field Scanner Season 6 Range 36 Column 5,36,5,33.0758055888341,-111.97498261968398,2018-08-01,PI570114,11600.0,kg / ha
MAC Field Scanner Season 6 Range 36 Column 9,36,9,33.0758056101403,-111.97491714241801,2018-08-01,PI452692,6650.0,kg / ha
MAC Field Scanner Season 6 Range 37 Column 13,37,13,33.0758415734497,-111.974851681618,2018-08-01,PI653616,16500.0,kg / ha
MAC Field Scanner Season 6 Range 38 Column 3,38,3,33.0758774623888,-111.975015391283,2018-08-01,PI329473,8890.0,kg / ha
MAC Field Scanner Season 6 Range 38 Column 7,38,7,33.0758774836627,-111.97494991399401,2018-08-01,PI651491,20100.0,kg / ha
MAC Field Scanner Season 6 Range 38 Column 11,38,11,33.0758775049352,-111.97488443670099,2018-08-01,PI152967,16500.0,kg / ha
MAC Field Scanner Season 6 Range 38 Column 15,38,15,33.075877526167694,-111.97481895943001,2018-08-01,PI656035,12600.0,kg / ha
MAC Field Scanner Season 6 Range 40 Column 9,40,9,33.0759493784934,-111.974917208253,2018-08-01,PI330199,15000.0,kg / ha
MAC Field Scanner Season 6 Range 40 Column 10,40,10,33.0759493838097,-111.97490083893999,2018-08-01,PI330182,19900.0,kg / ha
MAC Field Scanner Season 6 Range 41 Column 7,41,7,33.0759853099649,-111.974949963426,2018-08-01,PI329471,10300.0,kg / ha
MAC Field Scanner Season 6 Range 41 Column 8,41,8,33.075985315291,-111.974933594076,2018-08-01,PI329517,11700.0,kg / ha
MAC Field Scanner Season 6 Range 41 Column 9,41,9,33.0759853206149,-111.97491722472601,2018-08-01,PI329864,17000.0,kg / ha
MAC Field Scanner Season 6 Range 42 Column 5,42,5,33.076021241381895,-111.97498271862499,2018-08-01,PI535794,11100.0,kg / ha
MAC Field Scanner Season 6 Range 42 Column 10,42,10,33.076021268013,-111.97490087184299,2018-08-01,PI533998,11500.0,kg / ha
MAC Field Scanner Season 6 Range 42 Column 15,42,15,33.0760212945225,-111.974819025115,2018-08-01,PI569422,7040.0,kg / ha
MAC Field Scanner Season 6 Range 43 Column 4,43,4,33.0760571781921,-111.974999104486,2018-08-01,PI329333,7850.0,kg / ha
MAC Field Scanner Season 6 Range 43 Column 6,43,6,33.0760571888108,-111.974966365767,2018-08-01,PI155760,18700.0,kg / ha
MAC Field Scanner Season 6 Range 44 Column 2,44,2,33.0760931096181,-111.975031859683,2018-08-01,PI641817,8120.0,kg / ha
MAC Field Scanner Season 6 Range 44 Column 4,44,4,33.076093120273,-111.97499912097,2018-08-01,PI656015,22700.0,kg / ha
MAC Field Scanner Season 6 Range 44 Column 9,44,9,33.0760931468429,-111.97491727414699,2018-08-01,PI52606,13200.0,kg / ha
MAC Field Scanner Season 6 Range 45 Column 5,45,5,33.076129067680895,-111.974982768102,2018-08-01,PI330185,15400.0,kg / ha
MAC Field Scanner Season 6 Range 47 Column 2,47,2,33.076200935909,-111.97503190924401,2018-08-01,PI585454,5590.0,kg / ha
MAC Field Scanner Season 6 Range 48 Column 9,48,9,33.0762369152171,-111.97491734002199,2018-08-01,PI562781,15200.0,kg / ha
MAC Field Scanner Season 6 Range 48 Column 13,48,13,33.076236936512,-111.974851862462,2018-08-01,PI562991,9420.0,kg / ha
MAC Field Scanner Season 6 Range 49 Column 2,49,2,33.076272820080106,-111.97503194224,2018-08-01,PI641807,18400.0,kg / ha
