date,plot,range,column,scientificname,genotype,method,aboveground_dry_biomass,units,method_type
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 10,28,10,Sorghum bicolor,PI569427,Whole above ground biomass at harvest,8340,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 12,28,12,Sorghum bicolor,PI276837,Whole above ground biomass at harvest,14400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 15,28,15,Sorghum bicolor,PI641835,Whole above ground biomass at harvest,11200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 6,29,6,Sorghum bicolor,PI521019,Whole above ground biomass at harvest,13000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 8,29,8,Sorghum bicolor,PI257600,Whole above ground biomass at harvest,14500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 10,29,10,Sorghum bicolor,PI156871,Whole above ground biomass at harvest,10700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 11,29,11,Sorghum bicolor,PI643008,Whole above ground biomass at harvest,14900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 12,29,12,Sorghum bicolor,PI154846,Whole above ground biomass at harvest,17400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 33 Column 12,33,12,Sorghum bicolor,PI157030,Whole above ground biomass at harvest,12700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 3,34,3,Sorghum bicolor,PI641862,Whole above ground biomass at harvest,16900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 11,34,11,Sorghum bicolor,PI329351,Whole above ground biomass at harvest,16700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 13,34,13,Sorghum bicolor,PI297130,Whole above ground biomass at harvest,15000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 35 Column 7,35,7,Sorghum bicolor,PI297171,Whole above ground biomass at harvest,17900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 35 Column 14,35,14,Sorghum bicolor,PI156393,Whole above ground biomass at harvest,12800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 36 Column 3,36,3,Sorghum bicolor,PI152966,Whole above ground biomass at harvest,14400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 36 Column 5,36,5,Sorghum bicolor,PI570114,Whole above ground biomass at harvest,11600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 36 Column 9,36,9,Sorghum bicolor,PI452692,Whole above ground biomass at harvest,6650,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 37 Column 13,37,13,Sorghum bicolor,PI653616,Whole above ground biomass at harvest,16500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 3,38,3,Sorghum bicolor,PI329473,Whole above ground biomass at harvest,8890,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 7,38,7,Sorghum bicolor,PI651491,Whole above ground biomass at harvest,20100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 11,38,11,Sorghum bicolor,PI152967,Whole above ground biomass at harvest,16500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 15,38,15,Sorghum bicolor,PI656035,Whole above ground biomass at harvest,12600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 12,39,12,Sorghum bicolor,PI569447,Whole above ground biomass at harvest,6440,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 40 Column 9,40,9,Sorghum bicolor,PI330199,Whole above ground biomass at harvest,15000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 40 Column 10,40,10,Sorghum bicolor,PI330182,Whole above ground biomass at harvest,19900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 41 Column 7,41,7,Sorghum bicolor,PI329471,Whole above ground biomass at harvest,10300,kg/ha,manual
