date_of_flowering,sitename,lat,lon,trait_description,days_to_flowering,cultivar,range,pass,gdd
2016-08-23,Ashland Bottoms KSU 2016 Season Range 3 Pass 22,39.1389577493306,-96.63127132937001,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI576401,3,22,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 10 Pass 20,39.1392070947529,-96.63134560094629,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI641829,10,20,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 10 Pass 21,39.1392067402882,-96.63130986118679,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI641824,10,21,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 7 Pass 24,39.139099075560296,-96.63120231422701,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI533902,7,24,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 3 Pass 15,39.1389596864154,-96.6315187178982,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI527045,3,15,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 12 Pass 8,39.1392833285179,-96.6317697584495,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI562730,12,8,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 14 Pass 7,39.139354518995795,-96.63180574244709,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI302252,14,7,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 5 Pass 8,39.1390325149078,-96.63176672898341,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI656026,5,8,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 7 Pass 8,39.1391033441375,-96.6317675796087,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,RTx430,7,8,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 15 Pass 15,39.139387969148295,-96.6315238695342,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI170787,15,15,1127.0
