date_of_flowering,sitename,lat,lon,trait_description,days_to_flowering,cultivar,range,pass,gdd
2016-09-20,Ashland Bottoms KSU 2016 Season Range 19 Pass 19,39.1395290161405,-96.63138432529,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",95.0,PI330184,19,19,1502.0
2016-09-20,Ashland Bottoms KSU 2016 Season Range 21 Pass 11,39.13960435241879,-96.6316668529345,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",95.0,PI329338,21,11,1502.0
2016-09-20,Ashland Bottoms KSU 2016 Season Range 23 Pass 25,39.1396713214195,-96.6311738022969,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",95.0,PI152751,23,25,1502.0
2016-09-20,Ashland Bottoms KSU 2016 Season Range 17 Pass 17,39.139458528960205,-96.6314542783719,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",95.0,PI330195,17,17,1502.0
2016-09-21,Ashland Bottoms KSU 2016 Season Range 29 Pass 13,39.1398877309123,-96.63160065644121,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",96.0,PI330184,29,13,1521.0
2016-09-22,Ashland Bottoms KSU 2016 Season Range 20 Pass 2,39.139570573571895,-96.63198430022459,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",97.0,PI330195,20,2,1539.0
2016-09-22,Ashland Bottoms KSU 2016 Season Range 15 Pass 8,39.1393903019219,-96.6317710449901,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",97.0,PI563032,15,8,1539.0
2016-09-22,Ashland Bottoms KSU 2016 Season Range 28 Pass 11,39.1398525802316,-96.6316700475923,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",97.0,PI455280,28,11,1539.0
2016-09-24,Ashland Bottoms KSU 2016 Season Range 29 Pass 16,39.1398869294274,-96.6314940555368,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",99.0,PI570431,29,16,1569.0
2016-09-24,Ashland Bottoms KSU 2016 Season Range 29 Pass 19,39.139886129098294,-96.63138816674869,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",99.0,PI152733,29,19,1569.0
2016-09-24,Ashland Bottoms KSU 2016 Season Range 23 Pass 2,39.1396782168533,-96.63198564075519,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",99.0,PI154844,23,2,1569.0
2016-09-26,Ashland Bottoms KSU 2016 Season Range 17 Pass 26,39.1394560608279,-96.63113593124149,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",101.0,PI330181,17,26,1582.0
2016-09-27,Ashland Bottoms KSU 2016 Season Range 2 Pass 12,39.138924999079705,-96.6316231137944,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",102.0,SC1345,2,12,1590.0
2016-10-02,Ashland Bottoms KSU 2016 Season Range 28 Pass 16,39.1398512121539,-96.63149365655191,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",107.0,PI330858,28,16,1620.0
2016-10-04,Ashland Bottoms KSU 2016 Season Range 28 Pass 15,39.1398514921555,-96.6315294449014,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",109.0,PI329841,28,15,1639.0
2016-10-05,Ashland Bottoms KSU 2016 Season Range 27 Pass 23,39.1398142843045,-96.63124609016441,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",110.0,PI329510,27,23,1646.0
2016-10-05,Ashland Bottoms KSU 2016 Season Range 16 Pass 20,39.1394218567322,-96.6313481975614,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",110.0,PI154750,16,20,1646.0
2016-10-06,Ashland Bottoms KSU 2016 Season Range 35 Pass 19,39.1400998507039,-96.63139046976309,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",111.0,PI455217,35,19,1653.0
2016-10-06,Ashland Bottoms KSU 2016 Season Range 29 Pass 10,39.1398885161105,-96.6317057627968,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",111.0,PI154987,29,10,1653.0
2016-10-06,Ashland Bottoms KSU 2016 Season Range 16 Pass 13,39.1394239509225,-96.6315946360533,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",111.0,PI455217,16,13,1653.0
2016-10-06,Ashland Bottoms KSU 2016 Season Range 16 Pass 11,39.1394245440231,-96.6316645376127,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",111.0,PI329299,16,11,1653.0
2016-10-06,Ashland Bottoms KSU 2016 Season Range 35 Pass 7,39.1401042808304,-96.63181533531142,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",111.0,PI329403,35,7,1653.0
2016-10-07,Ashland Bottoms KSU 2016 Season Range 22 Pass 12,39.1396389925911,-96.6316323253788,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",112.0,PI329256,22,12,1655.0
2016-10-08,Ashland Bottoms KSU 2016 Season Range 32 Pass 9,39.1399958643971,-96.63174249878028,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",113.0,PI329665,32,9,1659.0
