date,plot,range,column,scientificname,genotype,height_block,method,aboveground_dry_biomass,units,method_type
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 7,39,7,Sorghum bicolor,PI329300,tall,Whole above ground biomass at harvest,18600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 9,39,9,Sorghum bicolor,PI154844,tall,Whole above ground biomass at harvest,20200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 11,39,11,Sorghum bicolor,PI570388,tall,Whole above ground biomass at harvest,20700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 41 Column 2,41,2,Sorghum bicolor,PI329545,tall,Whole above ground biomass at harvest,6650,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 41 Column 3,41,3,Sorghum bicolor,PI505717,tall,Whole above ground biomass at harvest,11200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 44 Column 9,44,9,Sorghum bicolor,PI52606,short,Whole above ground biomass at harvest,13200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 44 Column 13,44,13,Sorghum bicolor,PI524475,short,Whole above ground biomass at harvest,11600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 44 Column 14,44,14,Sorghum bicolor,PI526905,short,Whole above ground biomass at harvest,10500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 45 Column 7,45,7,Sorghum bicolor,PI569465,tall,Whole above ground biomass at harvest,12800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 46 Column 6,46,6,Sorghum bicolor,PI152651,short,Whole above ground biomass at harvest,9560,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 46 Column 9,46,9,Sorghum bicolor,PI564163,short,Whole above ground biomass at harvest,11100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 46 Column 13,46,13,Sorghum bicolor,PI563002,short,Whole above ground biomass at harvest,12700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 46 Column 14,46,14,Sorghum bicolor,PI329518,short,Whole above ground biomass at harvest,9580,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 47 Column 7,47,7,Sorghum bicolor,PI569148,tall,Whole above ground biomass at harvest,15200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 47 Column 10,47,10,Sorghum bicolor,PI569453,tall,Whole above ground biomass at harvest,13500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 47 Column 11,47,11,Sorghum bicolor,PI152730,tall,Whole above ground biomass at harvest,18100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 48 Column 10,48,10,Sorghum bicolor,PI329403,tall,Whole above ground biomass at harvest,17700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 48 Column 14,48,14,Sorghum bicolor,PI569455,tall,Whole above ground biomass at harvest,10000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 49 Column 3,49,3,Sorghum bicolor,PI156890,tall,Whole above ground biomass at harvest,8530,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 49 Column 5,49,5,Sorghum bicolor,PI585461,tall,Whole above ground biomass at harvest,10900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 49 Column 15,49,15,Sorghum bicolor,PI329301,tall,Whole above ground biomass at harvest,11800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 50 Column 14,50,14,Sorghum bicolor,PI641836,short,Whole above ground biomass at harvest,15100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 51 Column 6,51,6,Sorghum bicolor,PI267573,tall,Whole above ground biomass at harvest,12800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 51 Column 7,51,7,Sorghum bicolor,PI620157,tall,Whole above ground biomass at harvest,12700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 51 Column 11,51,11,Sorghum bicolor,PI266927,tall,Whole above ground biomass at harvest,14000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 52 Column 8,52,8,Sorghum bicolor,SP1516,border,Whole above ground biomass at harvest,16300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 10,16,10,Sorghum bicolor,PI641829,tall,Whole above ground biomass at harvest,17100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 11,16,11,Sorghum bicolor,PI505717,tall,Whole above ground biomass at harvest,10100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 9,18,9,Sorghum bicolor,PI586435,tall,Whole above ground biomass at harvest,15400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 12,19,12,Sorghum bicolor,PI329333,tall,Whole above ground biomass at harvest,13600,kg/ha,manual
