date,plot,range,column,scientificname,genotype,height_block,method,aboveground_dry_biomass,units,method_type
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 13,12,13,Sorghum bicolor,PI569422,short,Whole above ground biomass at harvest,7610,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 2,13,2,Sorghum bicolor,PI297171,tall,Whole above ground biomass at harvest,9470,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 14 Column 7,14,7,Sorghum bicolor,PI641830,short,Whole above ground biomass at harvest,14900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 9,15,9,Sorghum bicolor,PI569460,tall,Whole above ground biomass at harvest,9030,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 12,15,12,Sorghum bicolor,PI152591,tall,Whole above ground biomass at harvest,6720,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 7,18,7,Sorghum bicolor,PI329864,tall,Whole above ground biomass at harvest,10800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 2,19,2,Sorghum bicolor,PI655983,tall,Whole above ground biomass at harvest,13400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 7,19,7,Sorghum bicolor,PI213900,tall,Whole above ground biomass at harvest,14100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 21 Column 9,21,9,Sorghum bicolor,PI641835,tall,Whole above ground biomass at harvest,18200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 21 Column 15,21,15,Sorghum bicolor,PI641860,tall,Whole above ground biomass at harvest,8840,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 22 Column 3,22,3,Sorghum bicolor,PI511355,tall,Whole above ground biomass at harvest,16800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 22 Column 9,22,9,Sorghum bicolor,PI156178,tall,Whole above ground biomass at harvest,13400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 23 Column 2,23,2,Sorghum bicolor,PI329338,tall,Whole above ground biomass at harvest,5680,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 23 Column 10,23,10,Sorghum bicolor,PI619838,tall,Whole above ground biomass at harvest,8500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 23 Column 12,23,12,Sorghum bicolor,PI641807,tall,Whole above ground biomass at harvest,14300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 24 Column 4,24,4,Sorghum bicolor,PI566819,tall,Whole above ground biomass at harvest,7380,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 24 Column 5,24,5,Sorghum bicolor,PI152971,tall,Whole above ground biomass at harvest,13500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 26 Column 4,26,4,Sorghum bicolor,PI329644,tall,Whole above ground biomass at harvest,13800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 26 Column 7,26,7,Sorghum bicolor,PI563009,tall,Whole above ground biomass at harvest,7790,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 26 Column 10,26,10,Sorghum bicolor,PI585406,tall,Whole above ground biomass at harvest,8830,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 27 Column 2,27,2,Sorghum bicolor,PI329646,tall,Whole above ground biomass at harvest,2480,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 4,28,4,Sorghum bicolor,PI563196,tall,Whole above ground biomass at harvest,16200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 8,28,8,Sorghum bicolor,PI585961,tall,Whole above ground biomass at harvest,14800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 9,28,9,Sorghum bicolor,PI646242,tall,Whole above ground biomass at harvest,16700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 10,28,10,Sorghum bicolor,PI569427,tall,Whole above ground biomass at harvest,8340,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 12,28,12,Sorghum bicolor,PI276837,tall,Whole above ground biomass at harvest,14400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 15,28,15,Sorghum bicolor,PI641835,tall,Whole above ground biomass at harvest,11200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 6,29,6,Sorghum bicolor,PI521019,tall,Whole above ground biomass at harvest,13000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 8,29,8,Sorghum bicolor,PI257600,tall,Whole above ground biomass at harvest,14500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 10,29,10,Sorghum bicolor,PI156871,tall,Whole above ground biomass at harvest,10700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 11,29,11,Sorghum bicolor,PI643008,tall,Whole above ground biomass at harvest,14900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 12,29,12,Sorghum bicolor,PI154846,tall,Whole above ground biomass at harvest,17400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 33 Column 12,33,12,Sorghum bicolor,PI157030,tall,Whole above ground biomass at harvest,12700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 3,34,3,Sorghum bicolor,PI641862,tall,Whole above ground biomass at harvest,16900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 11,34,11,Sorghum bicolor,PI329351,tall,Whole above ground biomass at harvest,16700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 13,34,13,Sorghum bicolor,PI297130,tall,Whole above ground biomass at harvest,15000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 35 Column 7,35,7,Sorghum bicolor,PI297171,tall,Whole above ground biomass at harvest,17900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 35 Column 14,35,14,Sorghum bicolor,PI156393,tall,Whole above ground biomass at harvest,12800,kg/ha,manual
