date,sitename,range,pass,lat,lon,cultivar,trait_description,canopy_height_cm
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 29 Pass 20,29,20,39.1398858718864,-96.63135380559929,PI569455,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",60.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 20 Pass 26,20,26,39.1395639748795,-96.6311373394812,PI569453,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",54.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 28 Pass 21,28,21,39.1398498500607,-96.63131819343971,PI569454,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",63.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 16 Pass 4,16,4,39.1394266381491,-96.6319115790345,PI569433,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",92.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 31 Pass 13,31,13,39.139959384941896,-96.6316015914101,PI569444,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",68.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 26 Pass 15,26,15,39.139780687695605,-96.6315285906165,PI569444,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",54.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 23 Pass 22,23,22,39.139672230194705,-96.6312801515115,PI569445,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",64.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 24 Pass 10,24,10,39.1397115554222,-96.6317035777215,PI569421,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",64.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 27 Pass 25,27,25,39.1398137874697,-96.631175636522,PI569422,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",64.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 32 Pass 7,32,7,39.1399964413445,-96.6318139532605,PI569420,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",52.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 17 Pass 15,17,15,39.1394590784309,-96.63152472552349,PI569421,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",81.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 16 Pass 7,16,7,39.1394257490531,-96.63180664578908,PI569460,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",86.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 16 Pass 3,16,3,39.1394269348209,-96.63194701969358,PI566819,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",108.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 18 Pass 4,18,4,39.1394976690358,-96.6319124449929,PI569443,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",73.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 34 Pass 2,34,2,39.140070788043,-96.63199053289141,PI569097,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",107.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 29 Pass 26,29,26,39.139884279722295,-96.6311415330386,PI570071,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",61.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 32 Pass 12,32,12,39.139995012902396,-96.6316369064251,PI570042,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",42.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 35 Pass 9,35,9,39.140103533883796,-96.6317437505557,PI570109,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",70.7
